,species_name,phylo_level,parent,buccal_small,cityparks_small,hous1_small,hous2_small,soil_small
1189310,Myxococcus macrosporus DSM 14697,S1,35,,1636235.0,,,1632272.0
35,Myxococcus macrosporus,S,32,,1632307.0,,,1629304.0
208963,Pseudomonas aeruginosa UCBPP-PA14,S1,287,,,1534983.0,,
208964,Pseudomonas aeruginosa PAO1,S1,287,,,1527298.0,,
287,Pseudomonas aeruginosa,S,136841,,,1526802.0,,
509170,Acinetobacter baumannii SDF,S1,470,,,,1007666.0,
1096997,Acinetobacter baumannii BJAB0868,S1,470,,,,1007417.0,
470,Acinetobacter baumannii,S,909768,,,,1007309.0,
1785128,Acinetobacter lactucae,S,909768,,,,888271.0,
374930,Haemophilus influenzae PittEE,S1,727,840191.0,,,,
262727,Haemophilus influenzae R2846,S1,727,840159.0,,,,
727,Haemophilus influenzae,S,724,840048.0,,,,
246197,Myxococcus xanthus DK 1622,S1,34,,299212.0,,,301307.0
34,Myxococcus xanthus,S,32,,299064.0,,,301153.0
1297742,Myxococcus hansupus,S,32,,297899.0,,,299955.0
